Pays,Catégorie,Item,Valeur,Plage
Algeria,Salaries And Financing,Average Monthly Net Salary (After Tax),268.88 €,
Algeria,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.11,4.50-7.00
American Samoa,Rent Per Month,Apartment (1 bedroom) in City Centre,137.84 €,
American Samoa,Rent Per Month,Apartment (1 bedroom) Outside of Centre,183.78 €,
American Samoa,Rent Per Month,Apartment (3 bedrooms) in City Centre,827.01 €,
American Samoa,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,643.23 €,
American Samoa,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"9,890.96 €",
American Samoa,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"9,890.96 €",
American Samoa,Salaries And Financing,Average Monthly Net Salary (After Tax),?,
American Samoa,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",?,
Andorra,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,015.00 €","850.00-1,200.00"
Andorra,Rent Per Month,Apartment (1 bedroom) Outside of Centre,820.00 €,"750.00-1,000.00"
Andorra,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,870.00 €","1,500.00-3,000.00"
Andorra,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,700.00 €","1,250.00-2,500.00"
Andorra,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"4,650.00 €","4,500.00-5,000.00"
Andorra,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"3,971.43 €","3,500.00-4,500.00"
Andorra,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,396.39 €",
Andorra,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.20,1.75-4.50
Angola,Rent Per Month,Apartment (1 bedroom) in City Centre,543.36 €,256.91-912.18
Angola,Rent Per Month,Apartment (1 bedroom) Outside of Centre,267.60 €,64.23-658.71
Angola,Rent Per Month,Apartment (3 bedrooms) in City Centre,"2,158.24 €","856.36-6,707.97"
Angola,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,238.94 €","284.51-2,500.33"
Angola,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"4,374.70 €","4,135.05-22,075.68"
Angola,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,801.54 €","869.63-4,962.06"
Angola,Salaries And Financing,Average Monthly Net Salary (After Tax),"3,298.54 €",
Angola,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",25.00,22.00-25.00
Anguilla,Rent Per Month,Apartment (1 bedroom) in City Centre,?,
Anguilla,Rent Per Month,Apartment (1 bedroom) Outside of Centre,735.12 €,
Anguilla,Rent Per Month,Apartment (3 bedrooms) in City Centre,?,
Anguilla,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,378.35 €",
Anguilla,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,916.14 €,
Anguilla,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,482.42 €,
Anguilla,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,899.06 €",
Anguilla,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.78,
Antigua And Barbuda,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,598.92 €","680.02-2,756.70"
Antigua And Barbuda,Rent Per Month,Apartment (1 bedroom) Outside of Centre,"1,394.72 €","1,020.04-2,144.10"
Antigua And Barbuda,Rent Per Month,Apartment (3 bedrooms) in City Centre,"2,303.41 €","1,654.02-3,216.15"
Antigua And Barbuda,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,360.05 €","1,020.04-1,700.06"
Antigua And Barbuda,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"10,657.66 €","5,489.79-15,825.53"
Antigua And Barbuda,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,?,
Antigua And Barbuda,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,613.17 €",
Antigua And Barbuda,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.75,5.50-6.00
Argentina,Rent Per Month,Apartment (1 bedroom) in City Centre,420.49 €,275.67-735.12
Argentina,Rent Per Month,Apartment (1 bedroom) Outside of Centre,301.93 €,183.78-459.45
Argentina,Rent Per Month,Apartment (3 bedrooms) in City Centre,757.58 €,"413.50-1,378.35"
Argentina,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,550.04 €,321.62-918.90
Argentina,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,040.16 €","1,194.57-3,675.60"
Argentina,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,477.10 €","827.01-2,536.16"
Argentina,Salaries And Financing,Average Monthly Net Salary (After Tax),540.79 €,
Argentina,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",72.72,40.00-115.00
Armenia,Rent Per Month,Apartment (1 bedroom) in City Centre,688.05 €,"468.81-1,043.11"
Armenia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,479.57 €,328.17-703.22
Armenia,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,152.54 €","820.42-1,875.25"
Armenia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,744.20 €,"468.81-1,172.03"
Armenia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"3,103.00 €","1,875.25-4,688.13"
Armenia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,460.80 €","1,054.83-2,102.63"
Armenia,Salaries And Financing,Average Monthly Net Salary (After Tax),561.71 €,
Armenia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",15.01,12.00-18.20
Aruba,Rent Per Month,Apartment (1 bedroom) in City Centre,709.28 €,551.34-827.01
Aruba,Rent Per Month,Apartment (1 bedroom) Outside of Centre,507.77 €,459.45-611.75
Aruba,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,359.46 €","1,102.68-1,837.80"
Aruba,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,142.63 €","872.96-1,837.80"
Aruba,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,296.19 €","1,837.80-2,756.70"
Aruba,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,591.70 €","1,529.38-1,654.02"
Aruba,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,746.23 €",
Aruba,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.67,6.00-7.00
Australia,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,226.12 €","813.78-1,954.62"
Australia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,977.81 €,"697.52-1,453.17"
Australia,Rent Per Month,Apartment (3 bedrooms) in City Centre,"2,066.14 €","1,336.92-3,881.02"
Australia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,523.35 €","1,162.54-2,325.39"
Australia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"5,950.19 €","3,799.76-12,226.68"
Australia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"4,436.33 €","2,906.35-7,440.25"
Australia,Salaries And Financing,Average Monthly Net Salary (After Tax),"3,228.63 €",
Australia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.37,5.20-7.10
Austria,Rent Per Month,Apartment (1 bedroom) in City Centre,873.72 €,"600.00-1,200.00"
Austria,Rent Per Month,Apartment (1 bedroom) Outside of Centre,709.91 €,"550.00-1,000.00"
Austria,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,573.38 €","1,000.00-2,500.00"
Austria,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,269.43 €","900.00-1,800.00"
Austria,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"6,572.19 €","4,000.00-12,000.00"
Austria,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"4,911.78 €","3,500.00-7,500.00"
Austria,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,384.08 €",
Austria,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.68,1.80-4.00
Azerbaijan,Rent Per Month,Apartment (1 bedroom) in City Centre,388.07 €,243.24-810.79
Azerbaijan,Rent Per Month,Apartment (1 bedroom) Outside of Centre,222.45 €,135.13-351.34
Azerbaijan,Rent Per Month,Apartment (3 bedrooms) in City Centre,780.30 €,"378.37-1,513.48"
Azerbaijan,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,384.06 €,270.26-702.69
Azerbaijan,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,790.50 €","1,081.06-2,432.38"
Azerbaijan,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,909.58 €,"648.64-1,351.32"
Azerbaijan,Salaries And Financing,Average Monthly Net Salary (After Tax),422.38 €,
Azerbaijan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.02,7.00-14.00
Bahamas,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,211.80 €","505.40-2,297.25"
Bahamas,Rent Per Month,Apartment (1 bedroom) Outside of Centre,"1,194.57 €","551.34-2,021.58"
Bahamas,Rent Per Month,Apartment (3 bedrooms) in City Centre,"3,294.91 €","1,470.24-5,053.95"
Bahamas,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"3,124.26 €","2,297.25-4,135.05"
Bahamas,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"3,851.09 €","2,756.70-4,945.48"
Bahamas,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,811.10 €","1,190.57-4,945.48"
Bahamas,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,876.78 €",
Bahamas,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.04,4.75-15.00
Bahrain,Rent Per Month,Apartment (1 bedroom) in City Centre,792.10 €,"486.85-1,217.12"
Bahrain,Rent Per Month,Apartment (1 bedroom) Outside of Centre,548.92 €,365.14-973.70
Bahrain,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,557.43 €","730.27-2,190.82"
Bahrain,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,000.29 €","608.56-1,703.97"
Bahrain,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,332.82 €","2,069.11-2,434.24"
Bahrain,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,692.12 €","1,460.55-2,921.09"
Bahrain,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,920.19 €",
Bahrain,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.16,5.00-10.00
Bangladesh,Rent Per Month,Apartment (1 bedroom) in City Centre,85.79 €,45.32-151.05
Bangladesh,Rent Per Month,Apartment (1 bedroom) Outside of Centre,46.12 €,22.66-90.63
Bangladesh,Rent Per Month,Apartment (3 bedrooms) in City Centre,206.36 €,105.74-377.64
Bangladesh,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,122.02 €,64.20-226.58
Bangladesh,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,684.92 €,"365.84-1,219.45"
Bangladesh,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,406.42 €,243.89-755.27
Bangladesh,Salaries And Financing,Average Monthly Net Salary (After Tax),215.36 €,
Bangladesh,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.04,7.50-14.00
Barbados,Rent Per Month,Apartment (1 bedroom) in City Centre,614.70 €,413.50-918.90
Barbados,Rent Per Month,Apartment (1 bedroom) Outside of Centre,499.65 €,367.56-918.90
Barbados,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,617.72 €","1,010.79-2,986.43"
Barbados,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,112.89 €","689.18-1,562.13"
Barbados,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"3,216.15 €","3,216.15-3,216.15"
Barbados,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"3,216.15 €","3,216.15-3,216.15"
Barbados,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,089.87 €",
Barbados,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.62,4.00-9.00
Belarus,Rent Per Month,Apartment (1 bedroom) in City Centre,380.54 €,238.35-551.34
Belarus,Rent Per Month,Apartment (1 bedroom) Outside of Centre,252.35 €,148.62-349.18
Belarus,Rent Per Month,Apartment (3 bedrooms) in City Centre,683.76 €,420.62-981.44
Belarus,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,447.24 €,280.41-672.99
Belarus,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,585.96 €","918.90-2,389.14"
Belarus,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,011.09 €","689.18-1,332.40"
Belarus,Salaries And Financing,Average Monthly Net Salary (After Tax),542.30 €,
Belarus,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",14.65,12.50-20.00
Belgium,Rent Per Month,Apartment (1 bedroom) in City Centre,846.11 €,"670.00-1,200.00"
Belgium,Rent Per Month,Apartment (1 bedroom) Outside of Centre,734.15 €,"600.00-1,000.00"
Belgium,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,292.39 €","950.00-2,000.00"
Belgium,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,089.01 €","820.00-1,650.00"
Belgium,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"3,707.98 €","2,500.00-6,000.00"
Belgium,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,928.79 €","2,000.00-4,000.00"
Belgium,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,471.07 €",
Belgium,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.62,2.30-4.00
Belize,Rent Per Month,Apartment (1 bedroom) in City Centre,447.37 €,182.31-918.90
Belize,Rent Per Month,Apartment (1 bedroom) Outside of Centre,353.11 €,137.84-689.18
Belize,Rent Per Month,Apartment (3 bedrooms) in City Centre,720.43 €,"459.45-1,148.62"
Belize,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,627.80 €,"367.56-1,148.62"
Belize,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,328.26 €","183.78-2,472.74"
Belize,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,270.99 €","1,058.33-1,483.64"
Belize,Salaries And Financing,Average Monthly Net Salary (After Tax),977.63 €,
Belize,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.50,7.50-15.00
Benin,Rent Per Month,Apartment (1 bedroom) in City Centre,166.42 €,91.47-304.90
Benin,Rent Per Month,Apartment (1 bedroom) Outside of Centre,121.96 €,38.11-228.67
Benin,Rent Per Month,Apartment (3 bedrooms) in City Centre,457.35 €,228.67-609.80
Benin,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,263.52 €,121.96-381.12
Benin,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,?,
Benin,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,286.74 €",
Benin,Salaries And Financing,Average Monthly Net Salary (After Tax),215.97 €,
Benin,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.00,
Bermuda,Rent Per Month,Apartment (1 bedroom) in City Centre,"3,233.82 €","2,481.03-4,135.05"
Bermuda,Rent Per Month,Apartment (1 bedroom) Outside of Centre,"2,155.88 €","1,470.24-3,675.60"
Bermuda,Rent Per Month,Apartment (3 bedrooms) in City Centre,"7,685.35 €","5,513.40-13,783.50"
Bermuda,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"6,508.88 €","4,135.05-11,026.80"
Bermuda,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"10,618.21 €","8,209.49-13,783.50"
Bermuda,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"5,694.22 €","5,513.40-5,934.57"
Bermuda,Salaries And Financing,Average Monthly Net Salary (After Tax),"5,953.49 €",
Bermuda,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.08,5.00-10.00
Bhutan,Rent Per Month,Apartment (1 bedroom) in City Centre,103.30 €,79.18-149.99
Bhutan,Rent Per Month,Apartment (1 bedroom) Outside of Centre,66.15 €,28.15-95.02
Bhutan,Rent Per Month,Apartment (3 bedrooms) in City Centre,179.10 €,137.25-211.15
Bhutan,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,130.78 €,84.44-177.64
Bhutan,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,425.27 €","475.09-3,167.26"
Bhutan,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,530.84 €","105.58-2,956.11"
Bhutan,Salaries And Financing,Average Monthly Net Salary (After Tax),525.24 €,
Bhutan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.75,5.00-12.00
Bolivia,Rent Per Month,Apartment (1 bedroom) in City Centre,349.27 €,199.20-664.00
Bolivia,Rent Per Month,Apartment (1 bedroom) Outside of Centre,227.69 €,132.80-398.40
Bolivia,Rent Per Month,Apartment (3 bedrooms) in City Centre,642.31 €,"464.80-1,062.39"
Bolivia,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,440.58 €,"265.60-1,102.68"
Bolivia,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,061.14 €","918.90-1,378.35"
Bolivia,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,833.90 €,"650.72-1,429.44"
Bolivia,Salaries And Financing,Average Monthly Net Salary (After Tax),378.32 €,
Bolivia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.45,6.00-12.00
Bonaire,Rent Per Month,Apartment (1 bedroom) in City Centre,980.16 €,"918.90-1,010.79"
Bonaire,Rent Per Month,Apartment (1 bedroom) Outside of Centre,811.70 €,735.12-872.96
Bonaire,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,807.17 €","1,470.24-2,297.25"
Bonaire,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,623.39 €","1,286.46-2,021.58"
Bonaire,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,?,
Bonaire,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,?,
Bonaire,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,547.12 €",
Bonaire,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.00,
Bosnia And Herzegovina,Rent Per Month,Apartment (1 bedroom) in City Centre,268.51 €,153.39-460.16
Bosnia And Herzegovina,Rent Per Month,Apartment (1 bedroom) Outside of Centre,200.94 €,127.82-306.77
Bosnia And Herzegovina,Rent Per Month,Apartment (3 bedrooms) in City Centre,447.99 €,"255.64-1,022.58"
Bosnia And Herzegovina,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,330.32 €,204.52-613.55
Bosnia And Herzegovina,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,022.11 €","1,274.13-3,067.73"
Bosnia And Herzegovina,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"1,462.93 €","1,022.58-2,147.41"
Bosnia And Herzegovina,Salaries And Financing,Average Monthly Net Salary (After Tax),659.88 €,
Bosnia And Herzegovina,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.52,3.00-7.00
Botswana,Rent Per Month,Apartment (1 bedroom) in City Centre,215.02 €,168.39-269.43
Botswana,Rent Per Month,Apartment (1 bedroom) Outside of Centre,134.71 €,101.04-168.39
Botswana,Rent Per Month,Apartment (3 bedrooms) in City Centre,473.40 €,370.46-673.57
Botswana,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,307.92 €,235.75-505.18
Botswana,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,951.41 €,"673.57-1,212.42"
Botswana,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"35,923.63 €","20,207.04-47,149.76"
Botswana,Salaries And Financing,Average Monthly Net Salary (After Tax),745.70 €,
Botswana,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.37,7.50-15.00
Brazil,Rent Per Month,Apartment (1 bedroom) in City Centre,299.26 €,191.89-561.50
Brazil,Rent Per Month,Apartment (1 bedroom) Outside of Centre,203.39 €,127.93-353.53
Brazil,Rent Per Month,Apartment (3 bedrooms) in City Centre,573.71 €,"367.79-1,119.57"
Brazil,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,402.14 €,239.86-719.59
Brazil,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"1,406.11 €","799.54-2,398.63"
Brazil,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,994.69 €,"607.65-1,599.09"
Brazil,Salaries And Financing,Average Monthly Net Salary (After Tax),397.66 €,
Brazil,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.06,8.00-14.00
British Virgin Islands,Rent Per Month,Apartment (1 bedroom) in City Centre,"1,194.57 €","918.90-1,837.80"
British Virgin Islands,Rent Per Month,Apartment (1 bedroom) Outside of Centre,"1,171.60 €","918.90-1,470.24"
British Virgin Islands,Rent Per Month,Apartment (3 bedrooms) in City Centre,"3,331.01 €","2,756.70-4,135.05"
British Virgin Islands,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"3,216.15 €","2,756.70-3,675.60"
British Virgin Islands,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,?,
British Virgin Islands,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,?,
British Virgin Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),"1,912.23 €",
British Virgin Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.50,
Brunei,Rent Per Month,Apartment (1 bedroom) in City Centre,676.61 €,482.02-826.32
Brunei,Rent Per Month,Apartment (1 bedroom) Outside of Centre,458.74 €,343.78-550.88
Brunei,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,160.00 €","826.32-1,718.92"
Brunei,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,825.77 €,"550.05-1,170.62"
Brunei,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,"2,858.09 €","1,482.40-5,439.24"
Brunei,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,"2,636.95 €","1,273.91-4,000.00"
Brunei,Salaries And Financing,Average Monthly Net Salary (After Tax),"2,001.02 €",
Brunei,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.96,3.00-5.00
Bulgaria,Rent Per Month,Apartment (1 bedroom) in City Centre,415.15 €,256.59-615.81
Bulgaria,Rent Per Month,Apartment (1 bedroom) Outside of Centre,313.94 €,179.61-513.17
Bulgaria,Rent Per Month,Apartment (3 bedrooms) in City Centre,757.96 €,"410.54-1,282.93"
Bulgaria,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,541.96 €,307.90-846.73
